chunk,question
"EX-2.1 2 tm223212d3_ex2-1.htm EXHIBIT 2.1 Exhibit 2.1 EXECUTION VERSION AGREEMENT AND PLAN OF MERGER by and among MICROSOFT CORPORATION, ANCHORAGE MERGER SUB INC. and ACTIVISION BLIZZARD, INC. Dated as of January 18, 2022", Who are the parties involved in the Agreement and Plan of Merger mentioned in the document?
"EX-2.1 2 tm223212d3_ex2-1.htm EXHIBIT 2.1 Exhibit 2.1 EXECUTION VERSION AGREEMENT AND PLAN OF MERGER by and among MICROSOFT CORPORATION, ANCHORAGE MERGER SUB INC. and ACTIVISION BLIZZARD, INC. Dated as of January 18, 2022", What is the effective date of the Agreement and Plan of Merger?
"EX-2.1 2 tm223212d3_ex2-1.htm EXHIBIT 2.1 Exhibit 2.1 EXECUTION VERSION AGREEMENT AND PLAN OF MERGER by and among MICROSOFT CORPORATION, ANCHORAGE MERGER SUB INC. and ACTIVISION BLIZZARD, INC. Dated as of January 18, 2022", What companies are being merged according to the document?
"EX-2.1 2 tm223212d3_ex2-1.htm EXHIBIT 2.1 Exhibit 2.1 EXECUTION VERSION AGREEMENT AND PLAN OF MERGER by and among MICROSOFT CORPORATION, ANCHORAGE MERGER SUB INC. and ACTIVISION BLIZZARD, INC. Dated as of January 18, 2022"," What is the significance of Microsoft Corporation, Anchorage Merger Sub Inc., and Activision Blizzard, Inc. coming together in this merger?"
"EX-2.1 2 tm223212d3_ex2-1.htm EXHIBIT 2.1 Exhibit 2.1 EXECUTION VERSION AGREEMENT AND PLAN OF MERGER by and among MICROSOFT CORPORATION, ANCHORAGE MERGER SUB INC. and ACTIVISION BLIZZARD, INC. Dated as of January 18, 2022", Are there any specific terms or conditions outlined in the Agreement and Plan of Merger?
"EX-2.1 2 tm223212d3_ex2-1.htm EXHIBIT 2.1 Exhibit 2.1 EXECUTION VERSION AGREEMENT AND PLAN OF MERGER by and among MICROSOFT CORPORATION, ANCHORAGE MERGER SUB INC. and ACTIVISION BLIZZARD, INC. Dated as of January 18, 2022", What is the potential impact of this merger on the respective companies and the industry as a whole?
"TABLE OF CONTENTS Page Article I DEFINITIONS & INTERPRETATIONS 2 1.1 Certain Definitions 2 1.2 Additional Definitions 16 1.3 Certain Interpretations 18 1.4 Disclosure Letters 20 Article II THE MERGER 20 2.1 The Merger 20 2.2 The Effective Time 21 2.3 The Closing 21 2.4 Effect of the Merger 21 2.5 Certificate of Incorporation and Bylaws 21 2.6 Directors and Officers 22 2.7 Effect on Capital Stock 22 2.8 Equity Awards 23 2.9 Surrender of Shares 27 2.10 No Further Ownership Rights in Company Common Stock 29 2.11 Lost, Stolen or Destroyed Certificates 29 2.12 Required Withholding 29 2.13 Necessary Further Actions 29 2.14 Adjustment to Merger Consideration 30 Article III REPRESENTATIONS AND WARRANTIES OF THE COMPANY 30 3.1 Organization; Good Standing 30 3.2 Corporate Power; Enforceability 30 3.3 Company Board Approval; Opinion of the Company’s Financial Advisor; Anti-Takeover Laws 31 3.4 Requisite Stockholder Approval 31 3.5 Non-Contravention 32 3.6 Requisite Governmental Approvals 32 3.7 Company Capitalization 32 3.8 Subsidiaries 34 3.9 Company SEC Reports 35 3.10 Company Financial Statements; Internal Controls; Indebtedness 35 3.11 No Undisclosed Liabilities 37 3.12 Absence of Certain Changes; No Company Material Adverse Effect 37 3.13 Material Contracts 37 3.14 Real Property 38 3.15 Environmental Matters 39 3.16 Intellectual Property; Privacy and Security 39 -i-", What is the significance of the Effective Time in the document?
"TABLE OF CONTENTS Page Article I DEFINITIONS & INTERPRETATIONS 2 1.1 Certain Definitions 2 1.2 Additional Definitions 16 1.3 Certain Interpretations 18 1.4 Disclosure Letters 20 Article II THE MERGER 20 2.1 The Merger 20 2.2 The Effective Time 21 2.3 The Closing 21 2.4 Effect of the Merger 21 2.5 Certificate of Incorporation and Bylaws 21 2.6 Directors and Officers 22 2.7 Effect on Capital Stock 22 2.8 Equity Awards 23 2.9 Surrender of Shares 27 2.10 No Further Ownership Rights in Company Common Stock 29 2.11 Lost, Stolen or Destroyed Certificates 29 2.12 Required Withholding 29 2.13 Necessary Further Actions 29 2.14 Adjustment to Merger Consideration 30 Article III REPRESENTATIONS AND WARRANTIES OF THE COMPANY 30 3.1 Organization; Good Standing 30 3.2 Corporate Power; Enforceability 30 3.3 Company Board Approval; Opinion of the Company’s Financial Advisor; Anti-Takeover Laws 31 3.4 Requisite Stockholder Approval 31 3.5 Non-Contravention 32 3.6 Requisite Governmental Approvals 32 3.7 Company Capitalization 32 3.8 Subsidiaries 34 3.9 Company SEC Reports 35 3.10 Company Financial Statements; Internal Controls; Indebtedness 35 3.11 No Undisclosed Liabilities 37 3.12 Absence of Certain Changes; No Company Material Adverse Effect 37 3.13 Material Contracts 37 3.14 Real Property 38 3.15 Environmental Matters 39 3.16 Intellectual Property; Privacy and Security 39 -i-", How are Directors and Officers affected by the Merger?
"TABLE OF CONTENTS Page Article I DEFINITIONS & INTERPRETATIONS 2 1.1 Certain Definitions 2 1.2 Additional Definitions 16 1.3 Certain Interpretations 18 1.4 Disclosure Letters 20 Article II THE MERGER 20 2.1 The Merger 20 2.2 The Effective Time 21 2.3 The Closing 21 2.4 Effect of the Merger 21 2.5 Certificate of Incorporation and Bylaws 21 2.6 Directors and Officers 22 2.7 Effect on Capital Stock 22 2.8 Equity Awards 23 2.9 Surrender of Shares 27 2.10 No Further Ownership Rights in Company Common Stock 29 2.11 Lost, Stolen or Destroyed Certificates 29 2.12 Required Withholding 29 2.13 Necessary Further Actions 29 2.14 Adjustment to Merger Consideration 30 Article III REPRESENTATIONS AND WARRANTIES OF THE COMPANY 30 3.1 Organization; Good Standing 30 3.2 Corporate Power; Enforceability 30 3.3 Company Board Approval; Opinion of the Company’s Financial Advisor; Anti-Takeover Laws 31 3.4 Requisite Stockholder Approval 31 3.5 Non-Contravention 32 3.6 Requisite Governmental Approvals 32 3.7 Company Capitalization 32 3.8 Subsidiaries 34 3.9 Company SEC Reports 35 3.10 Company Financial Statements; Internal Controls; Indebtedness 35 3.11 No Undisclosed Liabilities 37 3.12 Absence of Certain Changes; No Company Material Adverse Effect 37 3.13 Material Contracts 37 3.14 Real Property 38 3.15 Environmental Matters 39 3.16 Intellectual Property; Privacy and Security 39 -i-", What is the importance of Equity Awards in the context of the document?
"TABLE OF CONTENTS Page Article I DEFINITIONS & INTERPRETATIONS 2 1.1 Certain Definitions 2 1.2 Additional Definitions 16 1.3 Certain Interpretations 18 1.4 Disclosure Letters 20 Article II THE MERGER 20 2.1 The Merger 20 2.2 The Effective Time 21 2.3 The Closing 21 2.4 Effect of the Merger 21 2.5 Certificate of Incorporation and Bylaws 21 2.6 Directors and Officers 22 2.7 Effect on Capital Stock 22 2.8 Equity Awards 23 2.9 Surrender of Shares 27 2.10 No Further Ownership Rights in Company Common Stock 29 2.11 Lost, Stolen or Destroyed Certificates 29 2.12 Required Withholding 29 2.13 Necessary Further Actions 29 2.14 Adjustment to Merger Consideration 30 Article III REPRESENTATIONS AND WARRANTIES OF THE COMPANY 30 3.1 Organization; Good Standing 30 3.2 Corporate Power; Enforceability 30 3.3 Company Board Approval; Opinion of the Company’s Financial Advisor; Anti-Takeover Laws 31 3.4 Requisite Stockholder Approval 31 3.5 Non-Contravention 32 3.6 Requisite Governmental Approvals 32 3.7 Company Capitalization 32 3.8 Subsidiaries 34 3.9 Company SEC Reports 35 3.10 Company Financial Statements; Internal Controls; Indebtedness 35 3.11 No Undisclosed Liabilities 37 3.12 Absence of Certain Changes; No Company Material Adverse Effect 37 3.13 Material Contracts 37 3.14 Real Property 38 3.15 Environmental Matters 39 3.16 Intellectual Property; Privacy and Security 39 -i-", How are Surrender of Shares handled in the document?
