chunk,question
Merger Guidelines       November 2008 *        *November 2017 – amended to include Harper reforms to the   Competition and Consumer Act 2010,What specific changes to the Competition and Consumer Act 2010 were incorporated into the Merger Guidelines in November 2017?
Merger Guidelines       November 2008 *        *November 2017 – amended to include Harper reforms to the   Competition and Consumer Act 2010,What is the significance of the November 2008 date in relation to the provided Merger Guidelines?
Merger Guidelines       November 2008 *        *November 2017 – amended to include Harper reforms to the   Competition and Consumer Act 2010,Are there any other versions of the Merger Guidelines besides the ones mentioned (November 2008 and the amended 2017 version)?
Merger Guidelines       November 2008 *        *November 2017 – amended to include Harper reforms to the   Competition and Consumer Act 2010,What is the primary purpose or function of the Merger Guidelines document?
Merger Guidelines       November 2008 *        *November 2017 – amended to include Harper reforms to the   Competition and Consumer Act 2010,"Who is responsible for issuing and maintaining these Merger Guidelines? (If the document doesn't state this explicitly, say so)."
Merger Guidelines       November 2008 *        *November 2017 – amended to include Harper reforms to the   Competition and Consumer Act 2010,"How might the Harper reforms, implemented in 2017, affect the assessment of mergers under the guidelines?"
"© Commonwealth of Australia 2011     This work is copyright. Apart from any use permitt ed by the Copyright Act 1968, no  part may be reproduced without permission of the Australian Competition and  Consumer Commission.  Requests and inquiries concerning reproduction and rights  should  be addressed  to the Director Publishing, Australian Competiti on and  Consumer  Commission,  GPO Box 3131, Canberra ACT 2601.     Important notice   This publication has been updated to refer to the Competition and   Consumer Act 2010  which replaces the Trade Practices Act 1974  on  1 January 2011  and to reflect the 2017 amendme nts to the Competition and  Consumer Act 2010 .     ISBN 978 1 xxxxxx xx x  ACCC_11/10_23916_222  www.accc.gov.au",What is the copyright status of the document and what body holds the copyright?
"© Commonwealth of Australia 2011     This work is copyright. Apart from any use permitt ed by the Copyright Act 1968, no  part may be reproduced without permission of the Australian Competition and  Consumer Commission.  Requests and inquiries concerning reproduction and rights  should  be addressed  to the Director Publishing, Australian Competiti on and  Consumer  Commission,  GPO Box 3131, Canberra ACT 2601.     Important notice   This publication has been updated to refer to the Competition and   Consumer Act 2010  which replaces the Trade Practices Act 1974  on  1 January 2011  and to reflect the 2017 amendme nts to the Competition and  Consumer Act 2010 .     ISBN 978 1 xxxxxx xx x  ACCC_11/10_23916_222  www.accc.gov.au","What is the name of the act that this publication has been updated to reflect, and what act did it replace?"
"© Commonwealth of Australia 2011     This work is copyright. Apart from any use permitt ed by the Copyright Act 1968, no  part may be reproduced without permission of the Australian Competition and  Consumer Commission.  Requests and inquiries concerning reproduction and rights  should  be addressed  to the Director Publishing, Australian Competiti on and  Consumer  Commission,  GPO Box 3131, Canberra ACT 2601.     Important notice   This publication has been updated to refer to the Competition and   Consumer Act 2010  which replaces the Trade Practices Act 1974  on  1 January 2011  and to reflect the 2017 amendme nts to the Competition and  Consumer Act 2010 .     ISBN 978 1 xxxxxx xx x  ACCC_11/10_23916_222  www.accc.gov.au","When did the replacement act come into effect, and when were the amendments to the current act implemented?"
"© Commonwealth of Australia 2011     This work is copyright. Apart from any use permitt ed by the Copyright Act 1968, no  part may be reproduced without permission of the Australian Competition and  Consumer Commission.  Requests and inquiries concerning reproduction and rights  should  be addressed  to the Director Publishing, Australian Competiti on and  Consumer  Commission,  GPO Box 3131, Canberra ACT 2601.     Important notice   This publication has been updated to refer to the Competition and   Consumer Act 2010  which replaces the Trade Practices Act 1974  on  1 January 2011  and to reflect the 2017 amendme nts to the Competition and  Consumer Act 2010 .     ISBN 978 1 xxxxxx xx x  ACCC_11/10_23916_222  www.accc.gov.au","To whom should requests for reproduction rights be addressed, and what is their postal address?"
